Title,Type,Series,Publisher,Year,ISSN,ISBN,DOI,Affiliation
"The structure, magnetism and EPR spectra of a (μ-thiophenolato)(μ-pyrazolato-N,N′) double bridged dicopper(ii) complex",journal-article,Dalton Transactions,Royal Society of Chemistry (RSC),2014,1477-9226,,https://doi.org/10.1039/c4dt03322a,University of Waterloo
Simple Balanced Binary Search Trees,journal-article,Electronic Proceedings in Theoretical Computer Science,Open Publishing Association,2014,2075-2180,,https://doi.org/10.4204/eptcs.170.6,"University of Waterloo, Waterloo, Ontario, Canada"
A comment on ‘A unique case of facial burn superinfected with Dermatobia hominis larvae’,journal-article,Tropical Doctor,SAGE Publications,2014,0049-4755,,https://doi.org/10.1177/0049475514561508,"Department of Biology, University of Waterloo, Waterloo, Ontario, Canada"
Generation of full polarization in ferromagnetic graphene with spin energy gap,journal-article,Applied Physics Letters,AIP Publishing,2014,0003-6951,,https://doi.org/10.1063/1.4905131,"Institute for Quantum Computing, University of Waterloo, Ontario N2L 3G1, Canada"
Moral Muteness,reference-entry,Wiley Encyclopedia of Management,"John Wiley & Sons, Ltd",2015,,9781118785317,https://doi.org/10.1002/9781118785317.weom020151,University of Waterloo; Waterloo Ontario Canada
AN ELECTRON SPIN RESONANCE STUDY OF OXYGEN RADICALS ON HYDROXYAPATITE,journal-article,Phosphorus Research Bulletin,Japanese Association of Inorganic Phosphorus Chemistry,2015,0918-4783,,https://doi.org/10.3363/prb1992.6.0_293,"Department of Chemistry, University of Waterloo"
Identification of Groundwater Components by Cr and Stable Isotope Signatures,journal-article,Journal of Groundwater Hydrology,Japanese Association of Groundwater Hydrology,2015,0913-4182,,https://doi.org/10.5917/jagh1987.36.259,"Waterloo Centre for Groundwater Research, University of Waterloo, Canada"
"The Relationship between Intramuscular Adipose Tissue, Functional Mobility, and Strength in Postmenopausal Women with and without Type 2 Diabetes",journal-article,Journal of Aging Research,Hindawi Limited,2015,2090-2204,,https://doi.org/10.1155/2015/872726,"Department of Kinesiology, University of Waterloo, 200 University Avenue West, Waterloo, ON, Canada N2L 3G1"
Asymptotic Hodge theory of vector bundles,journal-article,Communications in Analysis and Geometry,International Press of Boston,2015,1019-8385,,https://doi.org/10.4310/cag.2015.v23.n3.a4,"Department of Pure Mathematics, University of Waterloo, Ontario, Canada"
Impact of Blur on Suprathreshold Scaling of Ocular Discomfort,journal-article,Investigative Opthalmology & Visual Science,Association for Research in Vision and Ophthalmology (ARVO),2015,1552-5783,,https://doi.org/10.1167/iovs.14-14931,"School of Optometry and Vision Science, University of Waterloo, Waterloo, Canada 2Centre for Contact Lens Research, University of Waterloo, Waterloo, Canada"
"‘Sauvé du déluge des jours’ : Taxidermy, photography and literature in Adrien Goetz and Karen Knorr’s Le Soliloque de l’empailleur",journal-article,French Cultural Studies,SAGE Publications,2015,0957-1558,,https://doi.org/10.1177/0957155814554524,"University of Waterloo, Canada"
Nanoscopically resolved dynamic charge-carrier distribution in operating interband cascade lasers,journal-article,Laser & Photonics Reviews,Wiley,2015,1863-8880,,https://doi.org/10.1002/lpor.201400143,Department of Electrical & Computer Engineering; Waterloo Institute for Nanotechnology; University of Waterloo; 200 University Ave W. Waterloo ON N2L 3G1 Canada
NutriSTEP® is Reliable for Internet and Onscreen Use,journal-article,Canadian Journal of Dietetic Practice and Research,Dietitians of Canada,2015,1486-3847,,https://doi.org/10.3148/cjdpr-2014-029,"Kinesiology, University of Waterloo, Waterloo, ON"
The impact of compressive force magnitude on the in vitro neutral zone range and passive stiffness during a flexion–extension range of motion test,journal-article,Cogent Engineering,Informa UK Limited,2015,2331-1916,,https://doi.org/10.1080/23311916.2015.1014253,"Department of Kinesiology, University of Waterloo Burt Matthews Hall, 200 University Avenue West Waterloo Ontario Canada N2L 6P2"
Synthetic biology in Global Health: lessons from history and anthropology,journal-article,Journal of Responsible Innovation,Informa UK Limited,2015,2329-9460,,https://doi.org/10.1080/23299460.2014.1002170,"Department of Anthropology, School of Public Health &amp; Health Systems, University of Waterloo, Waterloo, ON, Canada"
"Book Review: Work: A Kingdom Perspective on LaborWork: A Kingdom Perspective on LaborWitheringtonBenIIIGrand Rapids, MI: Wm. B. Eerdmans Publishing, 2011. xvii + 166 pp.",journal-article,Studies in Religion/Sciences Religieuses,SAGE Publications,2015,0008-4298,,https://doi.org/10.1177/0008429815570517o,Conrad Grebel University College at the University of Waterloo
"Muscle contraction increases lactate transport  while reducing sarcolemmal MCT4, but not MCT1",journal-article,American Journal of Physiology-Endocrinology and Metabolism,American Physiological Society,2015,0193-1849,,https://doi.org/10.1152/ajpendo.00358.2001,"Department of Kinesiology, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada; and"
Thermal instability of rat muscle sarcoplasmic  reticulum Ca2+-ATPase function,journal-article,American Journal of Physiology-Endocrinology and Metabolism,American Physiological Society,2015,0193-1849,,https://doi.org/10.1152/ajpendo.00204.2002,"Department of Kinesiology, University of Waterloo, Waterloo, Ontario, Canada N2L 3G1"
Picking One’s Battles,journal-article,Social Psychological and Personality Science,SAGE Publications,2015,1948-5506,,https://doi.org/10.1177/1948550615572635,"Department of Psychology, University of Waterloo, Waterloo, ON, Canada"
Prevention of doxorubicin sorptive losses in drug delivery studies using polyethylene glycol,journal-article,RSC Advances,Royal Society of Chemistry (RSC),2015,2046-2069,,https://doi.org/10.1039/c5ra01799h,University of Waterloo
Response to Comments on “A New Model for the Viscosity Of Asphaltene Solutions”,journal-article,The Canadian Journal of Chemical Engineering,Wiley,2015,0008-4034,,https://doi.org/10.1002/cjce.22192,Department of Chemical Engineering; University of Waterloo; ON N2L 3G1 Canada
A modelling study of a new malignant hyperthermia diagnosis device,journal-article,The Canadian Journal of Chemical Engineering,Wiley,2015,0008-4034,,https://doi.org/10.1002/cjce.22191,Department of Chemical Engineering; University of Waterloo; Waterloo ON N2L 3G1 Canada
Fabrication and Electrical Properties Analysis of SWCNTs/PDMS Composites,proceedings-article,Materials Science and Energy Engineering (CMSEE 2014),WORLD SCIENTIFIC,2015,,9789814678964,https://doi.org/10.1142/9789814678971_0005,"Department of Systems Design Engineering and Waterloo Institute for Nanotechnology, University of Waterloo, Ontario, Canada, N2L 3G1, Canada"
Application of Eshelby’s Solution to Elastography for Diagnosis of Breast Cancer,journal-article,Ultrasonic Imaging,SAGE Publications,2015,0161-7346,,https://doi.org/10.1177/0161734615573030,"Department of Mechanical and Mechatronics Engineering, University of Waterloo, Waterloo, Ontario, Canada"
"Iodine status of Eeyou Istchee community members of northern Quebec, Canada, and potential sources",journal-article,Environmental Science: Processes & Impacts,Royal Society of Chemistry (RSC),2015,2050-7887,,https://doi.org/10.1039/c4em00674g,University of Waterloo
Review of <i>Ascension and Ecclesia: On the Significance of the Doctrine of the Ascension for Ecclesiology and Christian Cosmology</i> by Douglas Farrow,journal-article,Religious Studies and Theology,Equinox Publishing,2015,0829-2922,,https://doi.org/10.1558/rsth.v21i1.92,University of Waterloo
